"取引日時","通貨","取引種別","取引価格","通貨1","通貨1数量","手数料","通貨1の対円レート","通貨2","通貨2数量","手数料(JPY)","課税区分","自己・媒介","注文 ID","備考"
"2023/07/11 18:42:41","SHIB/JPY","買い","0.0011118","SHIB","1,600,000","0","0.0011118","JPY","-1,779","","","自己","BFF20230711-094241-429446",""
"2023/07/08 09:49:56","XYM/JPY","買い","4.32","XYM","417","0","4.32","JPY","-1,802","","","自己","BFF20230708-004956-617164",""
"2023/07/08 08:29:40","SHIB/JPY","買い","0.0010922","SHIB","1,000,000","0","0.0010922","JPY","-1,093","","","自己","BFF20230707-232940-647625",""
"2023/07/07 18:59:36","SHIB/JPY","買い","0.0010883","SHIB","1,000,000","0","0.0010883","JPY","-1,089","","","自己","BFF20230707-095936-236642",""
"2023/07/06 23:35:21","SHIB/JPY","買い","0.0010891","SHIB","1,000,000","0","0.0010891","JPY","-1,090","","","自己","BFF20230706-143521-939311",""
"2023/07/06 23:33:37","JPY","入金","0","JPY","10,000","0","0","","0","","","","MDP20230706-143337-918170",""
"2023/06/11 20:39:26","SHIB/JPY","買い","0.0009867","SHIB","284,787.67609202","0","0.0009867","JPY","-281","","","自己","BFF20230611-113926-696028",""
"2023/06/10 17:18:28","SHIB/JPY","買い","0.0009284","SHIB","269,280.48255062","0","0.0009284","JPY","-250","","","自己","BFF20230610-081828-050060",""
"2023/06/10 14:41:15","SHIB/JPY","買い","0.000931","SHIB","429,645.54242749","0","0.000931","JPY","-400","","","自己","BFF20230610-054115-157503",""
"2023/06/10 14:03:16","SHIB/JPY","買い","0.0008828","SHIB","113,275.9401903","0","0.0008828","JPY","-100","","","自己","BFF20230610-050316-707926",""
"2023/06/10 14:02:21","XEM/JPY","売り","3.319","XEM","-100","0","3.319","JPY","331","","","自己","BFF20230610-050221-696616",""
"2023/06/10 14:02:08","XYM/JPY","売り","3.35","XYM","-149.253732","0","3.35","JPY","500","","","自己","BFF20230610-050208-693985",""
"2023/06/10 13:59:42","SHIB/JPY","買い","0.0008765","SHIB","114,090.13120365","0","0.0008765","JPY","-100","","","自己","BFF20230610-045942-663888",""
"2023/06/10 11:47:46","SHIB/JPY","買い","0.0010526","SHIB","190,005.700171","0","0.0010526","JPY","-200","","","自己","BFF20230610-024746-013902",""
"2023/06/10 11:41:28","SHIB/JPY","買い","0.0011276","SHIB","443,419.65235899","0","0.0011276","JPY","-500","","","自己","BFF20230610-024128-928476",""
"2023/06/10 11:41:11","XYM/JPY","売り","3.51","XYM","-284.900285","0","3.51","JPY","1,000","","","自己","BFF20230610-024111-925125",""
"2023/05/16 09:40:02","SHIB/JPY","買い","0.0012576","SHIB","795,165.39440203","0","0.0012576","JPY","-1,000","","","自己","BFF20230516-004002-662603",""
"2023/05/10 21:45:43","SHIB/JPY","買い","0.0012818","SHIB","780,152.90997035","0","0.0012818","JPY","-1,000","","","自己","BFF20230510-124543-332696",""
"2023/05/10 21:42:55","JPY","入金","0","JPY","2,000","0","0","","0","","","","MDP20230510-124255-299017",""
"2023/04/16 22:59:14","SHIB/JPY","買い","0.0016256","SHIB","3,075.78740157","0","0.0016256","JPY","-5","","","自己","BFF20230416-135914-970424",""
"2023/04/16 22:58:52","XEM/JPY","売り","5.354","XEM","-1","0","5.354","JPY","5","","","自己","BFF20230416-135852-965968",""
"2023/04/16 11:59:29","SHIB/JPY","買い","0.0016347","SHIB","1,223,466.07940294","0","0.0016347","JPY","-2,000","","","自己","BFF20230416-025929-048939",""
"2023/04/16 11:55:16","JPY","入金","0","JPY","2,000","0","0","","0","","","","MDP20230416-025516-996921",""
"2023/04/16 11:51:17","SHIB/JPY","買い","0.0016328","SHIB","775,967.66291033","0","0.0016328","JPY","-1,267","","","自己","BFF20230416-025117-947322",""
"2023/04/16 11:51:05","XRP/JPY","売り","66.24","XRP","-19.142419","0","66.24","JPY","1,267","","","自己","BFF20230416-025105-945083",""
"2023/01/15 15:39:18","XYM/JPY","買い","4.99","XYM","200.400801","0","4.99","JPY","-1,000","","","自己","BFF20230115-063918-469905",""
"2023/01/15 15:39:06","XRP/JPY","買い","52.24","XRP","19.142419","0","52.24","JPY","-1,000","","","自己","BFF20230115-063906-467434",""
"2023/01/15 15:38:24","XYM/JPY","買い","4.99","XYM","200.400801","0","4.99","JPY","-1,000","","","自己","BFF20230115-063824-459578",""
